Player,POS,ATT,CMP,PASS_YDS,PASS_TDS,INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,FG,FGA,XPT,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Kimani Vidal LAC,RB,,,,,,44.1,239.1,1.6,0.1,56.7,12.7,89.0,0.3,,,,,,,,,,,
Chase Edmonds TB,RB,,,,,,55.4,199.0,1.2,0.1,51.0,13.7,95.1,0.2,,,,,,,,,,,
Emari Demercado ARI,RB,,,,,,31.9,141.6,1.1,0.5,49.5,16.2,107.1,0.4,,,,,,,,,,,
Carson Steele KC,RB,,,,,,42.8,160.1,1.2,0.4,48.9,12.8,110.6,0.4,,,,,,,,,,,
Audric Estime DEN,RB,,,,,,56.9,239.7,1.6,1.1,48.7,8.7,64.2,0.4,,,,,,,,,,,
Eric Gray NYG,RB,,,,,,39.6,206.8,1.4,0.1,48.4,10.8,73.7,0.2,,,,,,,,,,,
Ty Johnson BUF,RB,,,,,,35.8,154.3,1.0,0.2,45.3,11.2,93.6,0.6,,,,,,,,,,,
Will Shipley PHI,RB,,,,,,36.3,191.1,1.6,0.1,43.9,7.5,55.4,0.4,,,,,,,,,,,
Trey Sermon IND,RB,,,,,,44.5,228.7,1.2,0.1,41.6,6.5,44.5,0.1,,,,,,,,,,,
Evan Hull IND,RB,,,,,,34.6,155.6,1.0,0.1,39.8,9.0,64.4,0.5,,,,,,,,,,,
Isaiah Davis NYJ,RB,,,,,,65.5,193.8,1.4,0.1,39.8,6.5,47.1,0.2,,,,,,,,,,,
Dylan Laube LV,RB,,,,,,26.4,157.9,1.1,0.1,38.8,9.1,64.9,0.1,,,,,,,,,,,
Kyle Juszczyk SF,RB,,,,,,5.6,20.2,0.1,0.0,37.0,14.2,136.7,1.1,,,,,,,,,,,
Royce Freeman DAL,RB,,,,,,56.5,169.7,1.3,0.1,35.8,5.9,40.0,0.2,,,,,,,,,,,
Jordan Mason SF,RB,,,,,,33.1,183.0,1.6,0.0,35.1,4.2,29.1,0.1,,,,,,,,,,,
Isaac Guerendo SF,RB,,,,,,29.9,167.4,1.3,0.0,34.5,5.2,43.0,0.1,,,,,,,,,,,
Cordarrelle Patterson PIT,RB,,,,,,26.8,121.0,0.9,0.1,32.7,7.9,60.1,0.2,,,,,,,,,,,
Deuce Vaughn DAL,RB,,,,,,25.0,105.2,0.9,0.4,32.3,8.4,63.0,0.4,,,,,,,,,,,
Kendall Milton PHI,RB,,,,,,34.0,145.0,2.0,0.0,31.0,2.0,25.0,0.0,,,,,,,,,,,
Jase McClellan ATL,RB,,,,,,31.2,129.2,1.0,0.0,30.9,5.4,43.7,0.4,,,,,,,,,,,
Ameer Abdullah LV,RB,,,,,,26.8,102.6,0.2,0.0,30.7,10.7,78.4,0.1,,,,,,,,,,,
Michael Carter ARI,RB,,,,,,25.9,113.9,0.8,0.1,30.4,8.3,54.2,0.1,,,,,,,,,,,
Chris Rodriguez Jr. WAS,RB,,,,,,14.4,119.7,0.9,0.1,30.4,7.1,50.5,0.2,,,,,,,,,,,
Nyheim Hines CLE,RB,,,,,,22.9,71.1,0.5,0.1,30.3,10.8,80.9,0.2,,,,,,,,,,,
Andrew Beck HOU,RB,,,,,,3.7,9.5,0.7,1.5,29.6,9.9,87.8,1.5,,,,,,,,,,,
Deneric Prince KC,RB,,,,,,16.7,136.7,1.0,0.0,29.6,5.5,40.6,0.1,,,,,,,,,,,
Rasheen Ali BAL,RB,,,,,,26.4,149.0,1.2,0.0,29.1,3.9,31.0,0.1,,,,,,,,,,,
Jawhar Jordan HOU,RB,,,,,,0.0,134.0,1.0,0.0,26.4,4.0,30.0,0.0,,,,,,,,,,,
DeWayne McBride MIN,RB,,,,,,0.0,125.0,1.0,0.0,25.5,4.0,30.0,0.0,,,,,,,,,,,
D'Ernest Johnson JAC,RB,,,,,,31.8,113.8,0.5,0.1,24.4,5.5,39.2,0.1,,,,,,,,,,,
Blake Watson DEN,RB,,,,,,0.0,108.0,1.0,0.0,23.7,4.0,29.0,0.0,,,,,,,,,,,
Ronnie Rivers LAR,RB,,,,,,27.2,109.4,0.7,0.0,23.5,4.6,33.3,0.1,,,,,,,,,,,
Jeremy McNichols WAS,RB,,,,,,14.1,56.8,0.0,0.0,23.5,8.0,65.1,0.5,,,,,,,,,,,
Isaiah Spiller LAC,RB,,,,,,30.7,99.4,0.7,0.0,22.8,4.8,30.1,0.1,,,,,,,,,,,
Craig Reynolds DET,RB,,,,,,21.6,102.3,0.8,0.1,22.7,4.1,33.4,0.1,,,,,,,,,,,
Kevin Harris NE,RB,,,,,,5.9,99.6,0.8,0.0,22.7,4.6,34.0,0.0,,,,,,,,,,,
Dare Ogunbowale HOU,RB,,,,,,16.7,60.4,0.2,0.1,22.3,8.1,59.4,0.2,,,,,,,,,,,
Hunter Luepke DAL,RB,,,,,,8.7,31.2,1.4,0.0,22.3,5.7,39.4,0.2,,,,,,,,,,,
Trayveon Williams CIN,RB,,,,,,26.2,89.2,0.6,0.1,22.1,5.5,36.1,0.2,,,,,,,,,,,
Kenny McIntosh SEA,RB,,,,,,27.6,82.4,0.4,0.1,20.3,5.1,36.4,0.2,,,,,,,,,,,
Nick Bawden HOU,RB,,,,,,5.4,17.6,2.1,0.0,19.4,2.5,21.0,0.1,,,,,,,,,,,
Pierre Strong Jr. CLE,RB,,,,,,19.2,103.1,0.7,0.0,19.2,2.7,19.9,0.0,,,,,,,,,,,
Jeff Wilson Jr. MIA,RB,,,,,,16.7,89.7,0.7,0.0,18.9,3.0,21.7,0.1,,,,,,,,,,,
Julius Chestnut TEN,RB,,,,,,14.9,62.2,0.4,0.2,18.3,5.3,37.7,0.2,,,,,,,,,,,
Emanuel Wilson GB,RB,,,,,,2.2,70.5,0.5,0.0,17.6,4.1,29.9,0.1,,,,,,,,,,,
Jordan Mims NO,RB,,,,,,0.0,68.0,1.0,0.0,17.6,3.0,18.0,0.0,,,,,,,,,,,
Jaret Patterson LAC,RB,,,,,,16.7,71.0,0.4,0.1,16.7,4.0,27.6,0.1,,,,,,,,,,,
Emani Bailey KC,RB,,,,,,29.0,87.5,0.5,0.0,16.6,2.5,23.0,0.0,,,,,,,,,,,
Tyler Goodson IND,RB,,,,,,2.4,61.4,0.5,0.0,16.4,4.0,28.7,0.1,,,,,,,,,,,
Joshua Kelley NYG,RB,,,,,,2.2,71.2,0.5,0.0,16.0,3.5,24.0,0.0,,,,,,,,,,,
Cam Akers HOU,RB,,,,,,11.6,79.5,0.6,0.0,16.0,2.5,17.8,0.1,,,,,,,,,,,
Carlos Washington Jr. ATL,RB,,,,,,0.0,37.0,1.0,0.0,15.9,4.0,22.0,0.0,,,,,,,,,,,
Alec Ingold MIA,RB,,,,,,1.1,4.4,0.0,0.1,15.4,7.6,55.5,0.3,,,,,,,,,,,
JaMycal Hasty NE,RB,,,,,,15.5,51.6,0.2,0.1,14.9,4.5,31.5,0.1,,,,,,,,,,,
Cody Schrader SF,RB,,,,,,33.0,84.5,0.5,0.0,14.4,1.5,14.5,0.0,,,,,,,,,,,
Zonovan Knight DET,RB,,,,,,17.7,68.7,0.5,0.0,14.1,2.1,16.6,0.1,,,,,,,,,,,
Boston Scott LAR,RB,,,,,,2.3,54.3,0.6,0.0,13.7,2.5,19.2,0.1,,,,,,,,,,,
Israel Abanikanda NYJ,RB,,,,,,17.3,63.8,0.3,0.1,13.5,2.7,19.0,0.1,,,,,,,,,,,
Matt Breida SF,RB,,,,,,2.5,45.5,0.5,0.0,12.4,2.5,18.5,0.1,,,,,,,,,,,
Raheem Blackshear CAR,RB,,,,,,6.1,35.6,0.1,0.0,12.4,4.5,33.5,0.0,,,,,,,,,,,
Dante Miller NYG,RB,,,,,,7.1,29.2,0.2,0.1,12.0,4.2,28.1,0.2,,,,,,,,,,,
Sean Tucker TB,RB,,,,,,10.0,38.7,0.2,0.0,10.4,2.8,20.5,0.1,,,,,,,,,,,
Kene Nwangwu MIN,RB,,,,,,9.7,42.8,0.2,0.0,10.3,2.7,17.7,0.1,,,,,,,,,,,
Chris Brooks MIA,RB,,,,,,6.9,29.7,0.2,0.1,10.3,3.1,22.0,0.2,,,,,,,,,,,
Michael Burton DEN,RB,,,,,,5.1,20.6,0.1,0.1,10.2,4.0,26.4,0.2,,,,,,,,,,,
James Robinson NO,RB,,,,,,9.5,40.5,0.3,0.0,10.2,2.1,13.5,0.2,,,,,,,,,,,
La'Mical Perine PIT,RB,,,,,,12.7,38.8,0.2,0.0,9.9,2.8,18.7,0.1,,,,,,,,,,,
DeeJay Dallas ARI,RB,,,,,,5.3,30.3,0.1,0.0,9.7,3.7,24.5,0.0,,,,,,,,,,,
Avery Williams ATL,RB,,,,,,4.4,18.5,0.2,0.0,9.4,3.3,22.3,0.2,,,,,,,,,,,
Reggie Gilliam BUF,RB,,,,,,0.0,0.0,0.0,0.0,9.3,4.4,33.1,0.3,,,,,,,,,,,
Myles Gaskin MIN,RB,,,,,,13.6,44.3,0.2,0.1,9.2,2.1,13.0,0.1,,,,,,,,,,,
Darrynton Evans BUF,RB,,,,,,5.0,20.7,0.1,0.0,9.1,3.1,23.1,0.2,,,,,,,,,,,
Travis Homer CHI,RB,,,,,,2.3,32.3,0.0,0.0,9.0,3.1,22.1,0.1,,,,,,,,,,,
Tucker Fisk LAC,RB,,,,,,0.0,0.0,0.0,0.0,8.9,4.4,31.3,0.2,,,,,,,,,,,
Malik Davis DAL,RB,,,,,,2.3,32.1,0.0,0.0,8.2,2.6,19.5,0.1,,,,,,,,,,,
Adam Prentice NO,RB,,,,,,3.3,14.0,0.1,0.0,8.1,3.3,23.1,0.1,,,,,,,,,,,
Sione Vaki DET,RB,,,,,,12.6,39.5,0.2,0.0,7.9,1.5,9.7,0.0,,,,,,,,,,,
Keaontay Ingram KC,RB,,,,,,9.0,32.7,0.1,0.0,7.7,2.1,12.8,0.1,,,,,,,,,,,
Keilan Robinson JAC,RB,,,,,,0.0,33.0,0.0,0.0,6.8,2.0,15.0,0.0,,,,,,,,,,,
Gary Brightwell JAC,RB,,,,,,4.3,17.5,0.2,0.0,6.1,2.0,12.8,0.0,,,,,,,,,,,
Patrick Ricard BAL,RB,,,,,,2.7,10.9,0.0,0.0,6.0,2.3,16.2,0.2,,,,,,,,,,,
Hassan Haskins TEN,RB,,,,,,2.3,27.6,0.0,0.0,6.0,1.9,12.4,0.0,,,,,,,,,,,
J.J. Taylor HOU,RB,,,,,,2.2,8.8,0.0,0.0,5.7,2.2,16.2,0.2,,,,,,,,,,,
Jake Funk DET,RB,,,,,,2.4,9.4,0.0,0.0,5.7,2.1,16.1,0.2,,,,,,,,,,,
Jermar Jefferson DET,RB,,,,,,2.4,9.5,0.0,0.0,5.7,2.1,15.9,0.2,,,,,,,,,,,
Snoop Conner DAL,RB,,,,,,2.3,9.2,0.0,0.0,5.6,2.1,15.5,0.2,,,,,,,,,,,
Elijah Dotson LAC,RB,,,,,,2.3,16.6,0.0,0.0,5.6,2.1,14.8,0.1,,,,,,,,,,,
Khari Blasingame CHI,RB,,,,,,2.3,9.3,0.0,0.0,5.5,2.1,14.5,0.2,,,,,,,,,,,
Spencer Brown ATL,RB,,,,,,4.7,18.8,0.0,0.0,5.4,2.0,13.8,0.0,,,,,,,,,,,
Zach Evans LAR,RB,,,,,,2.3,20.6,0.0,0.0,5.3,1.5,12.1,0.1,,,,,,,,,,,
Patrick Taylor Jr. SF,RB,,,,,,2.5,13.5,0.0,0.0,5.2,2.0,13.9,0.1,,,,,,,,,,,
John Kelly Jr. BAL,RB,,,,,,2.4,9.9,0.0,0.0,5.0,2.0,13.8,0.1,,,,,,,,,,,
C.J. Ham MIN,RB,,,,,,2.2,8.6,0.0,0.0,4.8,2.1,15.4,0.1,,,,,,,,,,,
Jakob Johnson NYG,RB,,,,,,2.2,8.8,0.0,0.0,4.1,2.0,12.2,0.0,,,,,,,,,,,
Mike Boone CAR,RB,,,,,,0.0,0.0,0.0,0.0,3.4,2.0,14.0,0.0,,,,,,,,,,,
Tyrion Davis-Price PHI,RB,,,,,,0.0,17.0,0.0,0.0,3.0,1.0,3.0,0.0,,,,,,,,,,,
CeeDee Lamb DAL,WR,9.8,,,,,,68.2,0.8,1.1,332.5,116.1,1488.0,9.7,,,,,,,,,,,
Tyreek Hill MIA,WR,5.2,,,,,,30.5,0.1,1.0,325.4,110.2,1542.2,9.9,,,,,,,,,,,
Ja'Marr Chase CIN,WR,3.0,,,,,,12.6,0.1,0.7,297.4,106.6,1358.2,9.1,,,,,,,,,,,
Amon-Ra St. Brown DET,WR,4.5,,,,,,31.1,0.1,0.9,297.4,111.0,1354.2,8.2,,,,,,,,,,,
Justin Jefferson MIN,WR,1.2,,,,,,3.9,0.0,1.0,291.7,104.7,1441.3,7.4,,,,,,,,,,,
A.J. Brown PHI,WR,0.0,,,,,,1.4,0.0,1.3,273.7,93.5,1329.0,8.3,,,,,,,,,,,
Puka Nacua LAR,WR,8.9,,,,,,54.7,0.2,0.7,272.6,94.6,1297.4,7.2,,,,,,,,,,,
Garrett Wilson NYJ,WR,3.9,,,,,,19.2,0.1,1.3,262.6,95.1,1188.3,8.1,,,,,,,,,,,
Chris Olave NO,WR,0.0,,,,,,1.0,0.0,0.6,248.3,89.8,1205.0,6.5,,,,,,,,,,,
Marvin Harrison Jr. ARI,WR,0.5,,,,,,3.6,0.0,1.5,244.2,88.3,1177.6,6.8,,,,,,,,,,,
Davante Adams LV,WR,0.0,,,,,,1.0,0.0,0.5,244.1,93.1,1130.0,6.5,,,,,,,,,,,
Drake London ATL,WR,0.0,,,,,,2.2,0.0,0.9,242.8,87.8,1145.5,7.0,,,,,,,,,,,
Nico Collins HOU,WR,1.4,,,,,,8.6,0.0,0.5,237.7,78.4,1149.1,7.4,,,,,,,,,,,
Mike Evans TB,WR,0.0,,,,,,1.2,0.0,0.5,236.9,75.5,1119.9,8.4,,,,,,,,,,,
Cooper Kupp LAR,WR,2.9,,,,,,17.4,0.1,0.5,236.4,85.8,1059.5,7.3,,,,,,,,,,,
DeVonta Smith PHI,WR,0.0,,,,,,1.2,0.0,0.9,233.8,84.7,1082.3,7.1,,,,,,,,,,,
Michael Pittman Jr. IND,WR,0.3,,,,,,3.0,0.0,1.0,231.1,96.5,1061.6,5.0,,,,,,,,,,,
Deebo Samuel Sr. SF,WR,33.9,,,,,,199.4,3.0,1.0,230.8,67.0,925.7,5.9,,,,,,,,,,,
Jaylen Waddle MIA,WR,3.6,,,,,,21.1,0.1,0.5,228.5,81.4,1114.8,5.7,,,,,,,,,,,
DK Metcalf SEA,WR,0.0,,,,,,1.2,0.0,0.5,228.1,73.7,1068.6,8.1,,,,,,,,,,,
Brandon Aiyuk SF,WR,0.8,,,,,,4.0,0.0,0.9,227.3,74.2,1117.0,7.1,,,,,,,,,,,
Stefon Diggs HOU,WR,1.9,,,,,,9.1,0.1,1.0,226.7,85.0,1029.0,6.6,,,,,,,,,,,
DJ Moore CHI,WR,2.3,,,,,,15.1,0.2,0.9,222.1,75.5,1037.0,7.0,,,,,,,,,,,
Malik Nabers NYG,WR,0.5,,,,,,5.0,0.0,1.2,221.3,80.6,1075.6,5.8,,,,,,,,,,,
Amari Cooper CLE,WR,0.0,,,,,,1.0,0.0,0.9,219.6,73.2,1105.7,6.3,,,,,,,,,,,
Zay Flowers BAL,WR,7.4,,,,,,46.3,0.6,1.0,219.1,79.4,964.8,6.2,,,,,,,,,,,
George Pickens PIT,WR,2.6,,,,,,16.9,0.0,0.9,216.0,70.7,1088.6,6.1,,,,,,,,,,,
Chris Godwin TB,WR,2.7,,,,,,20.9,0.3,0.5,215.9,83.1,988.1,5.2,,,,,,,,,,,
Tee Higgins CIN,WR,0.0,,,,,,1.0,0.0,0.5,214.8,70.6,1013.1,7.3,,,,,,,,,,,
Christian Kirk JAC,WR,1.0,,,,,,6.4,0.0,1.3,212.4,80.9,1008.5,5.4,,,,,,,,,,,
Rashee Rice KC,WR,1.5,,,,,,7.0,0.0,1.0,212.1,78.1,926.1,7.1,,,,,,,,,,,
Tank Dell HOU,WR,11.1,,,,,,61.6,0.2,0.6,211.0,69.1,942.7,7.0,,,,,,,,,,,
Calvin Ridley TEN,WR,2.9,,,,,,14.8,0.0,0.5,208.5,70.4,963.6,6.9,,,,,,,,,,,
Terry McLaurin WAS,WR,0.3,,,,,,2.2,0.0,0.5,205.9,76.6,1021.0,4.7,,,,,,,,,,,
Keenan Allen CHI,WR,1.0,,,,,,6.3,0.0,1.0,200.5,79.3,889.8,5.6,,,,,,,,,,,
Diontae Johnson CAR,WR,1.0,,,,,,7.2,0.0,0.6,197.4,72.8,905.7,5.7,,,,,,,,,,,
Jayden Reed GB,WR,8.9,,,,,,73.4,1.2,0.6,192.3,64.1,796.9,5.9,,,,,,,,,,,
DeAndre Hopkins TEN,WR,0.3,,,,,,2.8,0.0,0.5,185.2,65.3,860.6,5.8,,,,,,,,,,,
Jaxon Smith-Njigba SEA,WR,0.0,,,,,,2.0,0.0,0.6,181.7,72.2,793.6,5.2,,,,,,,,,,,
Jordan Addison MIN,WR,0.3,,,,,,4.0,0.0,0.5,180.4,64.2,827.1,5.7,,,,,,,,,,,
Courtland Sutton DEN,WR,0.0,,,,,,1.2,0.0,1.3,178.4,63.8,820.5,5.8,,,,,,,,,,,
Rome Odunze CHI,WR,1.0,,,,,,6.4,0.0,1.1,177.5,62.2,846.8,5.3,,,,,,,,,,,
Ladd McConkey LAC,WR,1.1,,,,,,6.7,0.0,1.1,176.9,66.0,821.6,5.0,,,,,,,,,,,
Christian Watson GB,WR,4.1,,,,,,24.3,0.3,0.5,175.6,53.4,775.7,6.9,,,,,,,,,,,
Xavier Worthy KC,WR,3.7,,,,,,23.2,0.1,0.8,175.1,56.6,821.6,5.9,,,,,,,,,,,
Brian Thomas Jr. JAC,WR,0.7,,,,,,6.0,0.0,1.1,174.8,63.2,831.8,5.0,,,,,,,,,,,
Jerry Jeudy CLE,WR,0.3,,,,,,5.3,0.0,0.6,172.2,62.0,849.8,4.3,,,,,,,,,,,
Hollywood Brown KC,WR,1.9,,,,,,13.6,0.0,0.4,172.1,57.8,769.6,6.1,,,,,,,,,,,
Tyler Lockett SEA,WR,0.0,,,,,,1.2,0.0,0.5,171.1,65.5,757.3,5.1,,,,,,,,,,,
Joshua Palmer LAC,WR,0.3,,,,,,2.8,0.0,0.9,167.6,62.1,786.3,4.7,,,,,,,,,,,
Jakobi Meyers LV,WR,2.4,,,,,,15.6,0.3,0.5,167.5,64.7,728.9,4.6,,,,,,,,,,,
Curtis Samuel BUF,WR,11.3,,,,,,66.7,1.0,0.5,166.5,61.0,662.9,4.6,,,,,,,,,,,
Jameson Williams DET,WR,4.5,,,,,,42.0,0.7,0.6,165.4,53.8,758.6,4.7,,,,,,,,,,,
Adam Thielen CAR,WR,0.3,,,,,,3.0,0.0,0.6,164.7,69.2,695.5,4.5,,,,,,,,,,,
Khalil Shakir BUF,WR,0.3,,,,,,4.0,0.0,0.2,163.8,59.3,769.0,4.6,,,,,,,,,,,
Mike Williams NYJ,WR,2.3,,,,,,9.2,0.0,0.5,160.8,56.2,752.8,4.9,,,,,,,,,,,
Brandin Cooks DAL,WR,3.4,,,,,,20.5,0.1,0.5,159.9,56.2,687.7,5.6,,,,,,,,,,,
Keon Coleman BUF,WR,1.0,,,,,,4.8,0.0,1.1,158.5,55.8,745.3,5.0,,,,,,,,,,,
Romeo Doubs GB,WR,0.0,,,,,,1.5,0.0,0.5,157.3,55.9,687.0,5.6,,,,,,,,,,,
DeMario Douglas NE,WR,8.4,,,,,,44.1,0.1,0.9,157.1,60.9,737.0,3.2,,,,,,,,,,,
Gabe Davis JAC,WR,0.3,,,,,,1.3,0.0,0.9,153.9,49.6,733.7,5.4,,,,,,,,,,,
Rashid Shaheed NO,WR,4.3,,,,,,33.2,0.0,0.9,149.9,50.3,728.3,4.2,,,,,,,,,,,
Darnell Mooney ATL,WR,2.1,,,,,,12.1,0.1,0.2,147.6,50.9,706.7,4.1,,,,,,,,,,,
Ja'Lynn Polk NE,WR,0.7,,,,,,5.8,0.0,0.8,145.6,57.3,702.3,3.2,,,,,,,,,,,
Josh Downs IND,WR,0.0,,,,,,5.3,0.0,0.5,139.5,56.0,639.7,3.3,,,,,,,,,,,
Wan'Dale Robinson NYG,WR,8.1,,,,,,58.1,0.5,0.5,137.2,58.7,549.8,2.7,,,,,,,,,,,
Adonai Mitchell IND,WR,0.7,,,,,,4.8,0.0,0.8,134.8,48.2,653.4,3.7,,,,,,,,,,,
Michael Wilson ARI,WR,0.0,,,,,,1.3,0.0,0.2,134.8,49.0,641.4,3.7,,,,,,,,,,,
Dontayvion Wicks GB,WR,0.3,,,,,,3.8,0.0,0.5,134.3,45.6,609.6,4.7,,,,,,,,,,,
Demarcus Robinson LAR,WR,0.3,,,,,,7.8,0.0,0.6,131.5,46.2,592.5,4.4,,,,,,,,,,,
Rashod Bateman BAL,WR,0.3,,,,,,4.5,0.0,0.2,127.7,46.1,605.0,3.5,,,,,,,,,,,
Xavier Legette CAR,WR,2.8,,,,,,17.2,0.1,0.4,125.3,46.0,597.4,3.0,,,,,,,,,,,
Kendrick Bourne NE,WR,2.3,,,,,,15.8,0.0,0.5,124.5,46.5,562.9,3.5,,,,,,,,,,,
DJ Chark Jr. LAC,WR,0.0,,,,,,1.8,0.0,0.5,121.2,38.4,554.1,4.7,,,,,,,,,,,
Tim Patrick DEN,WR,0.0,,,,,,2.3,0.0,0.1,116.5,40.8,528.7,3.8,,,,,,,,,,,
Darius Slayton NYG,WR,0.0,,,,,,1.3,0.0,0.1,114.5,39.7,569.1,3.0,,,,,,,,,,,
Malachi Corley NYJ,WR,4.4,,,,,,30.0,0.2,0.1,114.3,42.6,482.7,3.3,,,,,,,,,,,
Luke McCaffrey WAS,WR,2.0,,,,,,15.5,0.0,0.4,111.2,43.3,516.2,2.6,,,,,,,,,,,
Jalen McMillan TB,WR,0.7,,,,,,7.5,0.0,0.7,110.6,42.2,502.4,3.2,,,,,,,,,,,
Tyler Boyd TEN,WR,1.3,,,,,,7.6,0.0,0.5,110.2,46.0,497.9,2.4,,,,,,,,,,,
